n, dt
170, 0.005844
171, 0.005482
172, 0.005748
173, 0.005379
174, 0.005495
175, 0.005741
176, 0.005945
177, 0.005468
178, 0.005910
179, 0.005660
180, 0.005394
181, 0.005887
182, 0.005696
183, 0.005407
184, 0.005817
185, 0.005409
186, 0.005406
187, 0.005941
188, 0.005912
189, 0.005708
190, 0.005416
191, 0.005369
192, 0.005671
193, 0.005618
194, 0.005492
195, 0.005618
196, 0.005380
197, 0.005711
198, 0.005400
199, 0.005409
200, 0.005424
201, 0.005375
202, 0.005400
203, 0.005406
204, 0.005439
205, 0.005370
206, 0.005433
207, 0.005448
208, 0.005328
209, 0.005432
210, 0.005377
211, 0.005335
212, 0.005412
213, 0.005491
214, 0.005423
215, 0.005368
216, 0.005659
217, 0.005376
218, 0.006252
219, 0.005452
220, 0.005686
221, 0.005667
222, 0.005464
223, 0.005844
224, 0.005420
225, 0.005476
226, 0.005539
227, 0.005433
228, 0.005468
229, 0.005412
230, 0.005432
231, 0.005473
232, 0.005385
233, 0.005659
234, 0.005782
235, 0.005870
236, 0.005432
237, 0.005474
238, 0.005338
239, 0.005319
240, 0.005465
241, 0.005910
242, 0.005851
243, 0.005481
244, 0.005967
245, 0.005393
246, 0.005423
247, 0.005740
248, 0.005524
249, 0.005427
250, 0.005514
251, 0.005437
252, 0.005512
253, 0.005406
254, 0.005811
255, 0.005439
256, 0.005449
257, 0.005373
258, 0.005406
259, 0.005427
260, 0.005371
261, 0.005909
262, 0.005444
263, 0.005395
264, 0.005499
265, 0.005408
266, 0.005890
267, 0.005707
268, 0.005404
269, 0.005399
270, 0.005621
271, 0.005610
272, 0.005874
273, 0.005380
274, 0.005415
275, 0.005367
276, 0.005345
277, 0.005465
278, 0.005651
279, 0.005481
280, 0.005443
281, 0.005813
282, 0.005521
283, 0.005386
284, 0.005411
285, 0.005378
286, 0.005335
287, 0.005306
288, 0.005331
289, 0.005314
290, 0.005317
291, 0.005855
292, 0.005314
293, 0.005323
294, 0.005383
295, 0.005376
296, 0.005332
297, 0.005525
298, 0.005364
299, 0.005353
300, 0.005737
301, 0.005383
302, 0.005337
303, 0.005872
304, 0.005486
305, 0.005771
306, 0.005451
307, 0.005438
308, 0.005713
309, 0.005746
310, 0.005379
311, 0.005581
312, 0.005464
313, 0.005403
314, 0.005412
315, 0.005541
316, 0.005441
317, 0.005421
318, 0.005513
319, 0.005409
320, 0.005365
321, 0.005502
322, 0.005430
323, 0.005419
324, 0.005425
325, 0.005510
326, 0.005442
327, 0.005599
328, 0.005404
329, 0.005443
330, 0.005543
331, 0.005504
332, 0.005775
333, 0.005458
334, 0.005388
335, 0.005422
336, 0.005562
337, 0.005544
338, 0.005551
339, 0.005419
340, 0.005475
341, 0.005437
342, 0.005686
343, 0.005390
344, 0.005639
345, 0.005594
346, 0.005521
347, 0.005326
348, 0.005397
349, 0.005471
350, 0.005446
351, 0.005811
352, 0.005614
353, 0.005709
354, 0.005443
355, 0.005726
356, 0.005403
357, 0.005415
358, 0.005367
359, 0.005371
360, 0.005358
361, 0.005432
362, 0.005865
363, 0.005434
364, 0.005548
365, 0.005486
366, 0.005581
367, 0.005371
368, 0.005477
369, 0.005648
370, 0.005834
371, 0.005758
372, 0.005693
373, 0.005501
374, 0.005385
375, 0.006005
376, 0.005762
377, 0.005734
378, 0.005414
379, 0.005598
380, 0.005813
381, 0.005954
382, 0.005411
383, 0.005506
384, 0.005455
385, 0.005529
386, 0.005952
387, 0.005767
388, 0.005478
389, 0.005553
390, 0.005409
391, 0.005453
392, 0.005359
393, 0.005576
394, 0.005449
395, 0.005901
396, 0.005381
397, 0.005408
398, 0.005633
399, 0.005576
400, 0.005463
401, 0.005673
402, 0.005454
403, 0.005594
404, 0.005630
405, 0.005843
406, 0.005419
407, 0.005438
408, 0.005322
409, 0.005583
410, 0.005437
411, 0.005863
412, 0.005418
413, 0.005449
414, 0.005420
415, 0.005510
416, 0.005807
417, 0.005463
418, 0.005561
419, 0.005388
420, 0.005506
421, 0.005499
422, 0.005478
423, 0.005373
424, 0.005471
425, 0.005461
426, 0.005363
427, 0.005343
428, 0.005413
429, 0.005665
430, 0.005695
431, 0.005749
432, 0.005415
433, 0.006165
434, 0.005988
435, 0.005958
436, 0.005429
437, 0.005677
438, 0.005457
439, 0.005416
440, 0.005565
441, 0.005841
442, 0.005412
443, 0.005440
444, 0.005531
445, 0.005464
446, 0.005393
447, 0.005475
448, 0.005621
449, 0.005646
450, 0.005885
451, 0.005475
452, 0.005392
453, 0.005608
454, 0.005502
455, 0.005708
456, 0.005532
457, 0.005484
458, 0.005656
459, 0.005654
460, 0.005484
461, 0.005410
462, 0.005756
463, 0.005604
464, 0.005738
465, 0.005413
466, 0.005517
467, 0.005445
468, 0.005375
469, 0.005497
470, 0.005367
471, 0.005771
472, 0.005406
473, 0.005623
474, 0.005852
475, 0.005649
476, 0.005692
477, 0.005399
478, 0.005346
479, 0.005401
480, 0.005544
481, 0.005392
482, 0.005841
483, 0.005649
484, 0.005428
485, 0.005853
486, 0.005827
487, 0.005523
488, 0.005501
489, 0.005469
490, 0.005374
491, 0.005426
492, 0.005305
493, 0.005468
494, 0.005342
495, 0.005385
496, 0.005375
497, 0.005357
498, 0.005450
499, 0.005342
500, 0.005373
501, 0.005203
502, 0.005278
503, 0.005287
504, 0.005197
505, 0.005257
506, 0.005342
507, 0.005245
508, 0.005228
509, 0.005194
510, 0.005232
511, 0.005202
512, 0.005213
513, 0.005230
514, 0.005168
515, 0.005181
516, 0.005191
517, 0.005184
518, 0.005241
519, 0.005171
520, 0.005200
521, 0.005212
522, 0.005191
523, 0.005161
524, 0.005160
525, 0.005164
526, 0.005139
527, 0.005169
528, 0.005196
529, 0.005722
530, 0.005623
531, 0.005315
532, 0.005840
533, 0.005574
534, 0.005350
535, 0.005888
536, 0.005590
537, 0.005437
538, 0.005486
539, 0.005864
540, 0.005578
541, 0.005469
542, 0.005648
543, 0.005416
544, 0.005702
545, 0.005396
546, 0.005491
547, 0.005453
548, 0.005977
549, 0.005489
550, 0.005886
551, 0.005496
552, 0.005637
553, 0.005654
554, 0.005399
555, 0.005571
556, 0.005657
557, 0.005430
558, 0.005572
559, 0.005562
560, 0.005646
561, 0.005690
562, 0.005400
563, 0.005385
564, 0.005350
565, 0.005344
566, 0.005377
567, 0.005430
568, 0.005504
569, 0.005354
570, 0.005398
571, 0.005347
572, 0.005578
573, 0.005339
574, 0.005266
575, 0.005532
576, 0.005521
577, 0.005520
578, 0.005506
579, 0.005577
580, 0.005544
581, 0.005515
582, 0.005569
583, 0.005951
584, 0.005626
585, 0.005511
586, 0.005999
587, 0.005591
588, 0.005520
589, 0.005641
590, 0.005413
591, 0.005415
592, 0.005377
593, 0.005751
594, 0.005430
595, 0.005638
596, 0.005652
597, 0.005575
598, 0.005481
599, 0.005638
600, 0.005488
601, 0.005389
602, 0.005414
603, 0.005466
604, 0.005417
605, 0.005482
606, 0.005399
607, 0.005377
608, 0.005374
609, 0.005372
610, 0.005390
611, 0.005336
612, 0.005893
613, 0.005330
614, 0.005621
615, 0.005366
616, 0.005374
617, 0.005732
618, 0.005470
619, 0.005264
620, 0.005392
621, 0.005335
622, 0.005394
623, 0.005212
624, 0.005398
625, 0.005537
626, 0.005405
627, 0.005296
628, 0.005704
629, 0.005571
630, 0.005678
631, 0.005399
632, 0.005585
633, 0.005382
634, 0.005390
635, 0.005324
636, 0.005516
637, 0.005509
638, 0.005361
639, 0.005982
640, 0.005420
641, 0.005754
642, 0.005347
643, 0.005449
644, 0.005374
645, 0.005370
646, 0.005410
647, 0.005581
648, 0.005445
649, 0.005382
650, 0.005795
651, 0.005603
652, 0.005412
653, 0.005379
654, 0.005705
655, 0.005630
656, 0.005286
657, 0.005367
658, 0.005468
659, 0.005741
660, 0.005871
661, 0.005391
662, 0.005339
663, 0.005919
664, 0.005461
665, 0.005639
666, 0.005708
667, 0.005392
668, 0.005443
669, 0.005868
670, 0.005390
671, 0.005603
672, 0.005446
673, 0.005493
674, 0.005725
675, 0.005865
676, 0.005440
677, 0.005560
678, 0.005979
679, 0.005516
680, 0.005766
681, 0.005594
682, 0.005540
683, 0.005692
684, 0.005642
685, 0.005552
686, 0.005748
687, 0.005672
688, 0.005573
689, 0.005821
690, 0.005763
691, 0.005398
692, 0.005813
693, 0.005460
694, 0.005475
695, 0.005629
696, 0.005704
697, 0.005472
698, 0.005438
699, 0.005847
700, 0.005583
701, 0.005690
702, 0.005743
703, 0.005380
704, 0.005322
705, 0.005354
706, 0.005449
707, 0.005357
708, 0.005317
709, 0.005516
710, 0.005466
711, 0.005372
712, 0.005587
713, 0.005358
714, 0.005362
715, 0.005559
716, 0.005434
717, 0.005243
718, 0.005297
719, 0.005382
720, 0.005518
721, 0.005466
722, 0.005893
723, 0.005406
724, 0.005491
725, 0.005387
726, 0.005480
727, 0.005610
728, 0.005572
729, 0.005680
730, 0.005596
731, 0.005384
732, 0.005548
733, 0.005584
734, 0.005668
735, 0.005826
736, 0.005526
737, 0.005344
738, 0.005583
739, 0.005476
740, 0.005424
741, 0.005411
742, 0.005530
743, 0.005418
744, 0.005721
745, 0.005500
746, 0.005327
747, 0.005340
748, 0.005596
749, 0.005368
750, 0.005492
751, 0.005700
752, 0.005585
753, 0.005790
754, 0.005480
755, 0.005354
756, 0.005348
757, 0.005483
758, 0.005398
759, 0.005550
760, 0.005522
761, 0.005790
762, 0.006042
763, 0.005479
764, 0.005340
765, 0.005399
766, 0.005552
767, 0.005455
768, 0.005558
769, 0.005573
770, 0.005484
771, 0.005893
772, 0.005496
773, 0.005509
774, 0.005566
775, 0.005453
776, 0.005461
777, 0.005517
778, 0.005501
779, 0.005478
780, 0.005424
781, 0.005502
782, 0.005720
783, 0.005392
784, 0.005409
785, 0.005737
786, 0.005810
787, 0.005523
788, 0.005430
789, 0.005450
790, 0.005670
791, 0.005369
792, 0.005793
793, 0.005556
794, 0.005372
795, 0.005880
796, 0.005525
797, 0.005443
798, 0.005404
799, 0.005544
800, 0.005434
801, 0.005785
802, 0.005415
803, 0.005413
804, 0.005421
805, 0.005645
806, 0.005457
807, 0.005372
808, 0.005388
809, 0.005320
810, 0.005319
811, 0.005331
812, 0.005340
813, 0.005250
814, 0.005390
815, 0.005311
816, 0.005340
817, 0.005484
818, 0.005320
819, 0.005687
820, 0.005770
821, 0.005395
822, 0.005386
823, 0.005876
824, 0.005364
825, 0.005340
826, 0.005540
827, 0.005413
828, 0.005554
829, 0.005863
830, 0.005398
831, 0.005346
832, 0.005849
833, 0.005335
834, 0.005326
835, 0.005575
836, 0.005387
837, 0.005406
838, 0.005811
839, 0.005469
840, 0.005400
841, 0.005889
842, 0.005574
843, 0.005442
844, 0.005385
845, 0.005417
846, 0.005346
847, 0.005813
848, 0.005374
849, 0.005425
850, 0.005402
851, 0.005406
852, 0.005329
853, 0.005416
854, 0.005423
855, 0.005336
856, 0.005463
857, 0.005960
858, 0.005416
859, 0.005359
860, 0.005541
861, 0.005339
862, 0.005439
863, 0.005388
864, 0.005342
865, 0.005431
866, 0.005429
867, 0.005349
868, 0.005369
869, 0.005585
870, 0.005379
871, 0.005420
872, 0.005317
873, 0.005363
874, 0.005349
875, 0.005766
876, 0.005404
877, 0.005593
878, 0.006058
879, 0.005422
880, 0.005869
881, 0.005363
882, 0.005643
883, 0.005861
884, 0.005721
885, 0.005826
886, 0.005737
887, 0.005855
888, 0.005507
889, 0.005868
890, 0.005669
891, 0.005484
892, 0.005859
893, 0.005821
894, 0.005466
895, 0.005411
896, 0.005723
897, 0.005581
898, 0.005685
899, 0.005521
900, 0.005386
901, 0.005689
902, 0.005722
903, 0.005694
904, 0.005622
905, 0.005480
906, 0.005851
907, 0.005722
908, 0.005482
909, 0.005428
910, 0.005893
911, 0.005471
912, 0.005703
913, 0.005764
914, 0.005611
915, 0.005406
916, 0.005347
917, 0.005490
918, 0.005675
919, 0.005458
920, 0.005541
921, 0.005901
922, 0.005838
923, 0.005684
924, 0.005446
925, 0.005717
926, 0.005466
927, 0.005377
928, 0.005645
929, 0.005607
930, 0.005644
931, 0.005904
932, 0.005439
933, 0.005761
934, 0.005445
935, 0.005481
936, 0.005511
937, 0.005895
938, 0.005466
939, 0.005429
940, 0.005390
941, 0.005431
942, 0.005378
943, 0.005415
944, 0.005459
945, 0.005713
946, 0.005869
947, 0.005615
948, 0.005428
949, 0.005435
950, 0.005441
951, 0.005835
952, 0.005602
953, 0.005534
954, 0.005562
955, 0.005703
956, 0.005544
957, 0.005819
958, 0.005574
959, 0.005699
960, 0.005484
961, 0.005422
962, 0.005491
963, 0.005475
964, 0.005490
965, 0.005477
966, 0.005634
967, 0.005506
968, 0.005317
969, 0.005860
970, 0.005747
971, 0.005495
972, 0.005718
973, 0.005497
974, 0.005475
975, 0.005908
976, 0.005846
977, 0.005614
978, 0.005427
979, 0.005436
980, 0.005571
981, 0.005509
982, 0.005438
983, 0.005432
984, 0.005415
985, 0.005946
986, 0.005573
987, 0.005613
988, 0.005445
989, 0.005530
990, 0.005817
991, 0.005615
992, 0.005589
993, 0.005433
994, 0.005664
995, 0.005496
996, 0.005481
997, 0.005714
998, 0.005424
999, 0.005465
