n, dt
0, 0.000111
1, 0.005565
2, 0.005380
3, 0.005961
4, 0.005402
5, 0.005415
6, 0.005704
7, 0.005945
8, 0.005449
9, 0.005569
10, 0.005361
11, 0.005442
12, 0.005616
13, 0.005905
14, 0.005666
15, 0.005511
16, 0.005889
17, 0.005876
18, 0.005578
19, 0.005858
20, 0.005880
21, 0.005861
22, 0.005982
23, 0.005430
24, 0.005923
25, 0.005619
26, 0.005798
27, 0.005879
28, 0.005650
29, 0.005525
30, 0.005626
31, 0.005539
32, 0.005591
33, 0.005920
34, 0.005471
35, 0.005865
36, 0.005393
37, 0.005582
38, 0.005392
39, 0.005519
40, 0.005498
41, 0.005357
42, 0.005887
43, 0.005458
44, 0.005716
45, 0.005830
46, 0.005396
47, 0.005471
48, 0.005593
49, 0.005497
50, 0.005422
51, 0.005582
52, 0.005518
53, 0.005481
54, 0.005418
55, 0.005614
56, 0.005875
57, 0.005611
58, 0.005508
59, 0.005820
60, 0.005917
61, 0.005625
62, 0.005976
63, 0.005904
64, 0.005422
65, 0.005633
66, 0.005818
67, 0.005409
68, 0.005374
69, 0.005869
70, 0.005595
71, 0.005385
72, 0.005901
73, 0.005869
74, 0.005808
75, 0.005812
76, 0.005822
77, 0.005873
78, 0.005371
79, 0.005857
80, 0.005837
81, 0.005634
82, 0.005857
83, 0.005902
84, 0.005747
85, 0.005528
86, 0.005937
87, 0.005537
88, 0.005844
89, 0.005402
90, 0.005532
91, 0.005863
92, 0.005427
93, 0.005486
94, 0.005652
95, 0.005888
96, 0.005500
97, 0.005861
98, 0.005903
99, 0.005523
100, 0.005825
101, 0.005400
102, 0.005701
103, 0.005358
104, 0.005384
105, 0.005376
106, 0.005898
107, 0.005443
108, 0.005437
109, 0.005359
110, 0.005682
111, 0.005379
112, 0.005347
113, 0.005434
114, 0.005482
115, 0.005364
116, 0.005349
117, 0.005284
118, 0.005227
119, 0.005297
120, 0.005254
121, 0.005323
122, 0.005266
123, 0.005287
124, 0.005395
125, 0.005451
126, 0.005856
127, 0.005398
128, 0.005587
129, 0.005613
130, 0.005331
131, 0.005632
132, 0.005318
133, 0.005422
134, 0.005498
135, 0.005405
136, 0.005510
137, 0.005785
138, 0.005861
139, 0.005376
140, 0.005855
141, 0.005596
142, 0.005407
143, 0.005389
144, 0.005696
145, 0.005405
146, 0.005392
147, 0.005411
148, 0.005448
149, 0.005669
150, 0.005842
151, 0.005710
152, 0.005660
153, 0.005841
154, 0.005568
155, 0.005634
156, 0.005976
157, 0.005459
158, 0.005601
159, 0.005592
160, 0.005711
161, 0.005837
162, 0.005371
163, 0.005795
164, 0.005928
165, 0.005604
166, 0.005605
167, 0.005896
168, 0.005410
169, 0.005891
